epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,6318.46,0.57896,0.50678,1.08318,0.90179,0.88809,0.93284,0.77482,0.78889,0.52909,1.25951,0.00094805,0.00094805,0.00094805
124,6369.82,0.57383,0.49526,1.09273,0.93075,0.87076,0.94083,0.79035,0.7852,0.48221,1.30548,0.000945575,0.000945575,0.000945575
125,6421.08,0.58024,0.49351,1.0938,0.908,0.81762,0.91088,0.74974,0.81227,0.54995,1.34514,0.0009431,0.0009431,0.0009431
126,6472.43,0.59139,0.50086,1.08449,0.89282,0.86421,0.92369,0.76504,0.75518,0.54868,1.26734,0.000940625,0.000940625,0.000940625
127,6523.8,0.58573,0.49263,1.09294,0.93705,0.84956,0.93076,0.79398,0.70305,0.46701,1.256,0.00093815,0.00093815,0.00093815
128,6575.31,0.56489,0.47739,1.0789,0.90713,0.87983,0.9285,0.77867,0.79669,0.65965,1.30361,0.000935675,0.000935675,0.000935675
129,6626.59,0.56319,0.47165,1.07338,0.90468,0.89298,0.93598,0.78863,0.71137,0.46901,1.22522,0.0009332,0.0009332,0.0009332
130,6677.91,0.58068,0.48746,1.09471,0.91379,0.8754,0.93928,0.79434,0.77165,0.48236,1.27397,0.000930725,0.000930725,0.000930725
131,6729.37,0.56992,0.47516,1.08082,0.92414,0.86247,0.93217,0.78396,0.77531,0.48802,1.28176,0.00092825,0.00092825,0.00092825
132,6780.7,0.57796,0.4791,1.08421,0.92232,0.88462,0.93921,0.79398,0.707,0.44798,1.23853,0.000925775,0.000925775,0.000925775
133,6832.05,0.57816,0.49793,1.0872,0.93298,0.88183,0.93904,0.79351,0.75145,0.48822,1.22048,0.0009233,0.0009233,0.0009233
134,6883.37,0.56148,0.47125,1.08609,0.86389,0.88697,0.9265,0.7748,0.72871,0.49813,1.26937,0.000920825,0.000920825,0.000920825
135,6934.66,0.55873,0.47386,1.0668,0.91464,0.88663,0.93483,0.78905,0.77323,0.48385,1.34651,0.00091835,0.00091835,0.00091835
136,6985.87,0.57316,0.49526,1.08652,0.90198,0.87195,0.93105,0.78069,0.80185,0.51082,1.34325,0.000915875,0.000915875,0.000915875
137,7037.14,0.56233,0.47103,1.07711,0.93368,0.85845,0.9291,0.7761,0.78295,0.48199,1.30681,0.0009134,0.0009134,0.0009134
138,7088.47,0.55333,0.50034,1.08063,0.91683,0.88303,0.93471,0.78072,0.78802,0.49119,1.30971,0.000910925,0.000910925,0.000910925
139,7139.74,0.55304,0.50714,1.08224,0.90375,0.88422,0.93141,0.78293,0.77282,0.4959,1.22947,0.00090845,0.00090845,0.00090845
140,7191.01,0.56247,0.46332,1.07426,0.91643,0.86866,0.92621,0.78016,0.77005,0.51152,1.23894,0.000905975,0.000905975,0.000905975
141,7242.38,0.54411,0.47211,1.05799,0.92321,0.86232,0.93232,0.79132,0.7591,0.49607,1.23965,0.0009035,0.0009035,0.0009035
142,7293.67,0.55008,0.46007,1.07128,0.93221,0.85452,0.92583,0.78285,0.77364,0.50536,1.31695,0.000901025,0.000901025,0.000901025
143,7344.96,0.55922,0.48339,1.07913,0.93304,0.85362,0.93335,0.79174,0.74209,0.49496,1.2141,0.00089855,0.00089855,0.00089855
144,7396.21,0.55394,0.45805,1.06861,0.94177,0.87581,0.93947,0.78936,0.78917,0.50058,1.30456,0.000896075,0.000896075,0.000896075
145,7447.51,0.55394,0.44466,1.07216,0.93547,0.86821,0.94066,0.79886,0.74593,0.48542,1.21438,0.0008936,0.0008936,0.0008936
146,7498.98,0.55078,0.45815,1.06406,0.92241,0.88892,0.94207,0.80046,0.76151,0.46674,1.29528,0.000891125,0.000891125,0.000891125
147,7550.5,0.53359,0.44894,1.06923,0.93971,0.8714,0.9342,0.78233,0.75119,0.51352,1.25432,0.00088865,0.00088865,0.00088865
148,7601.92,0.54144,0.46209,1.05857,0.95052,0.86065,0.93296,0.78885,0.76284,0.45911,1.28803,0.000886175,0.000886175,0.000886175
149,7653.34,0.54197,0.45652,1.06064,0.92487,0.8707,0.93197,0.78397,0.7928,0.47517,1.33908,0.0008837,0.0008837,0.0008837
150,7704.78,0.54023,0.4466,1.06167,0.9527,0.86894,0.94568,0.79758,0.72589,0.46484,1.25092,0.000881225,0.000881225,0.000881225
151,7756.23,0.5352,0.45215,1.06393,0.93927,0.87372,0.92664,0.78195,0.76452,0.4873,1.27659,0.00087875,0.00087875,0.00087875
152,7807.72,0.54843,0.458,1.06955,0.92615,0.86719,0.93084,0.78809,0.73314,0.45011,1.24798,0.000876275,0.000876275,0.000876275
153,7859.12,0.53895,0.45247,1.05711,0.94391,0.87563,0.94691,0.80303,0.76671,0.46181,1.32292,0.0008738,0.0008738,0.0008738
154,7910.77,0.53259,0.44543,1.06135,0.9084,0.89976,0.9439,0.79459,0.76812,0.4645,1.26593,0.000871325,0.000871325,0.000871325
155,7962.13,0.53889,0.45806,1.05767,0.89848,0.87953,0.92631,0.76747,0.80371,0.49473,1.35027,0.00086885,0.00086885,0.00086885
156,8013.46,0.53791,0.44654,1.06364,0.92497,0.86606,0.92656,0.78489,0.7129,0.55068,1.18982,0.000866375,0.000866375,0.000866375
157,8064.79,0.54929,0.44932,1.06125,0.92695,0.87193,0.92935,0.77932,0.74177,0.49646,1.27449,0.0008639,0.0008639,0.0008639
158,8116.13,0.53377,0.45431,1.05917,0.93754,0.87828,0.94346,0.80728,0.69768,0.46852,1.23264,0.000861425,0.000861425,0.000861425
159,8167.69,0.53168,0.45301,1.06029,0.92862,0.85605,0.92529,0.77722,0.80763,0.74088,1.39564,0.00085895,0.00085895,0.00085895
160,8219.05,0.52979,0.4451,1.05438,0.92386,0.84856,0.92928,0.7819,0.77913,0.51035,1.34705,0.000856475,0.000856475,0.000856475
161,8270.61,0.51969,0.43585,1.04664,0.94685,0.85186,0.93049,0.78835,0.80116,0.49615,1.37143,0.000854,0.000854,0.000854
162,8322.09,0.51473,0.43516,1.04171,0.95458,0.87814,0.94656,0.79347,0.77403,0.45639,1.28675,0.000851525,0.000851525,0.000851525
163,8373.39,0.52167,0.42728,1.05014,0.94724,0.87545,0.93609,0.79714,0.74272,0.46286,1.23026,0.00084905,0.00084905,0.00084905
164,8424.75,0.52013,0.42969,1.04914,0.92411,0.88615,0.93771,0.80264,0.74469,0.45703,1.26658,0.000846575,0.000846575,0.000846575
165,8476.11,0.51558,0.42975,1.0458,0.94878,0.88302,0.94523,0.80394,0.76734,0.46343,1.32899,0.0008441,0.0008441,0.0008441
166,8527.43,0.51423,0.42526,1.04552,0.93146,0.88934,0.94296,0.79691,0.76072,0.43965,1.30748,0.000841625,0.000841625,0.000841625
167,8578.69,0.51901,0.44738,1.05498,0.94965,0.86304,0.93106,0.78633,0.76321,0.48623,1.34927,0.00083915,0.00083915,0.00083915
168,8629.9,0.51833,0.43116,1.05349,0.94533,0.85278,0.93757,0.8028,0.76052,0.48209,1.30975,0.000836675,0.000836675,0.000836675
169,8681.27,0.51953,0.42608,1.04484,0.903,0.89246,0.92697,0.78894,0.77868,0.52347,1.34478,0.0008342,0.0008342,0.0008342
170,8732.52,0.51448,0.40721,1.04594,0.95242,0.87862,0.93727,0.80867,0.73359,0.46256,1.23245,0.000831725,0.000831725,0.000831725
171,8783.97,0.50348,0.41041,1.03103,0.92063,0.89785,0.93926,0.79458,0.77149,0.47472,1.28591,0.00082925,0.00082925,0.00082925
172,8835.29,0.50684,0.42307,1.03941,0.93476,0.87023,0.9305,0.79497,0.74842,0.48952,1.31831,0.000826775,0.000826775,0.000826775
173,8886.56,0.51305,0.42036,1.04329,0.92722,0.87221,0.92926,0.78686,0.77652,0.49808,1.32041,0.0008243,0.0008243,0.0008243
174,8937.88,0.50056,0.40699,1.04173,0.92966,0.85937,0.92928,0.79883,0.77974,0.70742,1.36317,0.000821825,0.000821825,0.000821825
175,8989.17,0.50693,0.41741,1.03569,0.92934,0.86607,0.93261,0.80081,0.74979,0.55012,1.28433,0.00081935,0.00081935,0.00081935
176,9040.4,0.50811,0.4355,1.04641,0.94608,0.86973,0.9416,0.7914,0.77014,0.451,1.26942,0.000816875,0.000816875,0.000816875
177,9091.77,0.50238,0.4111,1.03582,0.9416,0.87392,0.93901,0.80054,0.7676,0.48867,1.31282,0.0008144,0.0008144,0.0008144
178,9143.06,0.50412,0.41848,1.03555,0.95566,0.85056,0.93723,0.78774,0.78213,0.50783,1.37127,0.000811925,0.000811925,0.000811925
179,9194.31,0.51527,0.42974,1.04834,0.89866,0.8629,0.92568,0.78708,0.77311,0.53403,1.2645,0.00080945,0.00080945,0.00080945
